cve_id,crate_name,version_range,target_function_paths
RUSTSEC-2020-0145,heapless,<=0.6,heapless::vec::IntoIter::clone
RUSTSEC-2020-0164,cell-project,<0.1.4,"cell_project::cell_project,cell_project::nightly_cell_project"
RUSTSEC-2020-0165,mozjpeg,<0.8.19,mozjpeg::DecompressScanlines::read_scanlines
RUSTSEC-2021-0018,qwutils,<0.3.1,qwutils::imp::vec::VecExt::insert_slice_clone
RUSTSEC-2021-0022,yottadb,<1.2.0,"yottadb::Key::sub_next_self_st,yottadb::Key::sub_prev_self_st,yottadb::KeyContext::sub_next_self_st,yottadb::KeyContext::sub_prev_self_st"
RUSTSEC-2021-0027,bam,<0.1.3,bam::bgzip::Block::load
RUSTSEC-2021-0028,toodee,<0.3.0,toodee::TooDee::insert_row
RUSTSEC-2021-0031,nano_arena,<0.5.2,"nano_arena::Arena::split_at,nano_arena::ArenaSplit::split_at"
RUSTSEC-2021-0033,stack_dst,<0.6.1,stack_dst::StackA::push_cloned
RUSTSEC-2021-0037,diesel,<1.4.6,diesel::SqliteConnection::query_by_name
RUSTSEC-2021-0041,parse_duration,*,parse_duration::parse
RUSTSEC-2021-0054,rkyv,<0.6.0,rkyv::Archive::resolve
